,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.1245570182800293,0.03749926848875611
1,Sequence-form,Ours (parallelized),0.14655256271362305,0.09541323675568233
2,Sequence-form,Ours (parallelized),0.19073033332824707,0.16677500662369754
3,Sequence-form,Ours (parallelized),0.2785677909851074,0.07877238676739465
4,Sequence-form,Ours (parallelized),0.45388007164001465,0.04038250518252852
5,Sequence-form,Ours (parallelized),0.793571949005127,0.021980363659784525
6,Sequence-form,Ours (parallelized),1.4545819759368896,0.012925510204160343
7,Sequence-form,Ours (parallelized),2.774188280105591,0.007285287016075224
8,Sequence-form,Ours (parallelized),5.440277338027954,0.004292840348791721
9,Sequence-form,Ours (parallelized),11.015126943588257,0.0022986674306267278
10,Sequence-form,Ours (parallelized),21.944926738739014,0.001307024057641491
11,Sequence-form,Ours (parallelized),43.38919711112976,0.0007423140796304992
12,Sequence-form,Ours (parallelized),86.7274272441864,0.00042932448899645967
13,Sequence-form,Ours (parallelized),174.94855189323425,0.00024433414668780656
14,Sequence-form,Ours (parallelized),353.4067528247833,0.00013853590105361233
15,Sequence-form,Ours (parallelized),711.7594051361084,7.983050993239267e-05
16,Sequence-form,Ours (parallelized),1000.0234408378601,5.946838701925347e-05
17,Sequence-form,Ours (unparallelized),10.606585025787354,0.03749926848875611
18,Sequence-form,Ours (unparallelized),30.14896249771118,0.09541323675568242
19,Sequence-form,Ours (unparallelized),69.08575415611267,0.1667750066236989
20,Sequence-form,Ours (unparallelized),147.25568842887878,0.0787723867673964
21,Sequence-form,Ours (unparallelized),305.10832929611206,0.040382505167252114
22,Sequence-form,Ours (unparallelized),621.0581941604614,0.02203013640729637
23,Sequence-form,Ours (unparallelized),1017.3006727695465,0.015648522559639257
24,Classical,OpenSpiel (C++),110.33067488670349,0.07469135802469139
25,Classical,OpenSpiel (C++),154.53553247451782,0.2810904458307188
26,Classical,OpenSpiel (C++),321.7219650745392,0.17680285434118087
27,Classical,OpenSpiel (C++),681.3972721099854,0.11040519751218571
28,Classical,OpenSpiel (C++),1076.116482257843,0.08956462618990631
29,Classical,OpenSpiel (Python),778.7036933898926,0.07469135802469139
30,Classical,OpenSpiel (Python),1091.4448640346527,0.2810904458307188
31,Classical,OpenSpiel (Python),2244.012225627899,0.17680285434118087
32,Classical,OpenSpiel (Python),4729.613108158112,0.11040519751218571
