,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.09962201118469238,-0.0020660421857795663
1,Sequence-form,Ours (parallelized),0.12081551551818848,0.002685546875
2,Sequence-form,Ours (parallelized),0.16039538383483887,0.0010579427083334423
3,Sequence-form,Ours (parallelized),0.23889875411987305,0.000488387149385764
4,Sequence-form,Ours (parallelized),0.3966331481933594,0.04110757088832381
5,Sequence-form,Ours (parallelized),0.7119889259338379,0.027768025926971345
6,Sequence-form,Ours (parallelized),1.3404486179351807,0.018490173132632296
7,Sequence-form,Ours (parallelized),2.5834457874298096,0.009155341345063978
8,Sequence-form,Ours (parallelized),5.052751541137695,0.004980330677286259
9,Sequence-form,Ours (parallelized),10.035322904586792,0.0029828319860684014
10,Sequence-form,Ours (parallelized),19.87650728225708,0.0016570231330054674
11,Sequence-form,Ours (parallelized),39.55536103248596,0.0008659384826062953
12,Sequence-form,Ours (parallelized),78.54473042488098,0.0004927217633213538
13,Sequence-form,Ours (parallelized),157.33234214782715,0.00027301700529544417
14,Sequence-form,Ours (parallelized),319.1880669593811,0.00015950765958597235
15,Sequence-form,Ours (parallelized),637.8062493801117,8.675265818802042e-05
16,Sequence-form,Ours (parallelized),1000.0017523765564,6.05812156276031e-05
17,Sequence-form,Ours (unparallelized),4.165489912033081,-0.0020660421857795663
18,Sequence-form,Ours (unparallelized),12.631397008895874,0.002685546875
19,Sequence-form,Ours (unparallelized),29.58180022239685,0.0010579427083333651
20,Sequence-form,Ours (unparallelized),62.91478776931763,0.0004882812500000885
21,Sequence-form,Ours (unparallelized),129.40697574615479,0.00023600260416687616
22,Sequence-form,Ours (unparallelized),264.6203236579895,0.00011616368447622122
23,Sequence-form,Ours (unparallelized),533.725399017334,5.764431423697057e-05
24,Sequence-form,Ours (unparallelized),1005.8763365745544,3.089573355988858e-05
25,Classical,OpenSpiel (C++),23.593258142471313,0.003662109375
26,Classical,OpenSpiel (C++),40.8891122341156,0.06722553020630678
27,Classical,OpenSpiel (C++),76.48862051963806,0.054044861713241424
28,Classical,OpenSpiel (C++),167.63045144081116,0.0434365752137539
29,Classical,OpenSpiel (C++),350.1380248069763,0.02631774288627807
30,Classical,OpenSpiel (C++),722.4210324287415,0.018872661799432634
31,Classical,OpenSpiel (C++),1003.7770266532898,0.015048600158878787
32,Classical,OpenSpiel (Python),214.28777289390564,0.003662109375
33,Classical,OpenSpiel (Python),354.0374138355255,0.06722553020630678
34,Classical,OpenSpiel (Python),660.7246778011322,0.054044861713241424
35,Classical,OpenSpiel (Python),1451.7300124168396,0.0434365752137539
