,Game size (# nodes),Implementation,Solver,Iteration time (s),Iteration time standard error (s),CUDA memory usage (bytes),Memory usage (bytes)
0,58,Sequence-form,Ours (parallelized),0.014265441488610784,2.9452579324096216e-06,50176,414760960
1,9457,Sequence-form,Ours (parallelized),0.025245857578876464,8.73888662788951e-06,791552,405356544
2,294883,Sequence-form,Ours (parallelized),0.03863619752732651,1.6296681995081896e-05,17204736,510255104
3,58709,Sequence-form,Ours (parallelized),0.024175724036701946,6.378233030621695e-06,12761600,460197888
4,2271795,Sequence-form,Ours (parallelized),0.02571178153903847,8.596023428903972e-06,295461888,2949668864
5,14811409,Sequence-form,Ours (parallelized),0.019433698987959887,2.3170500860890115e-06,306384896,11836608512
6,52081183,Sequence-form,Ours (parallelized),0.021981809208418673,4.842836471346016e-06,755478016,37977559040
7,58,Sequence-form,Ours (unparallelized),0.0007905855995800518,3.198275744342822e-08,0,9239392256
8,9457,Sequence-form,Ours (unparallelized),0.051384478288042254,1.120465246694391e-05,0,10128113664
9,294883,Sequence-form,Ours (unparallelized),1.3127361508086324,0.0018071626268638954,0,14041235456
10,58709,Sequence-form,Ours (unparallelized),0.6487763860951299,0.0004907686690714769,0,9941340160
11,2271795,Sequence-form,Ours (unparallelized),13.058840315063279,0.07255095181553049,0,9720397824
12,14811409,Sequence-form,Ours (unparallelized),8.450528255029887,0.03982646318077969,0,11835539456
13,52081183,Sequence-form,Ours (unparallelized),19.56052404642105,0.17679847853208477,0,37976248320
14,58,Classical,OpenSpiel (C++),3.91509638018408e-05,7.806282397209293e-10,0,3390164992
15,9457,Classical,OpenSpiel (C++),0.013430608708206336,1.8944357970035634e-06,0,208138240
16,294883,Classical,OpenSpiel (C++),0.06087054600814373,8.102906181691316e-05,0,667570176
17,58709,Classical,OpenSpiel (C++),0.16843660031206845,6.625121209284317e-05,0,314966016
18,2271795,Classical,OpenSpiel (C++),5.378962095065783,0.02218019105823541,0,4344455168
19,14811409,Classical,OpenSpiel (C++),22.80301195924932,0.22618450044201596,0,20215095296
20,52081183,Classical,OpenSpiel (C++),89.59779914220174,4.736624073911478,0,82026827776
21,58,Classical,OpenSpiel (Python),0.001041063014349772,3.494928494617068e-08,0,323371008
22,9457,Classical,OpenSpiel (Python),0.15385112943677173,7.980779874431409e-05,0,219435008
23,294883,Classical,OpenSpiel (Python),1.5304693580586548,0.010933108510547122,0,1082580992
24,58709,Classical,OpenSpiel (Python),1.0251680780068422,0.0011075758075615757,0,482545664
25,2271795,Classical,OpenSpiel (Python),32.06367598810503,0.7401779493580235,0,6540156928
26,14811409,Classical,OpenSpiel (Python),181.08689978718758,10.083298589380911,0,21723811840
27,52081183,Classical,OpenSpiel (Python),590.4451487660408,46.582065710636265,0,85186527232
